Zeus' Thunderbolt,Mythical Weapon,Zeus,"Divine weapon associated with Zeus, capable of producing thunder and lightning."
Poseidon's Trident,Mythical Weapon,Poseidon,The three-pronged weapon of the sea god Poseidon.
Aegis,Mythical Weapon,Athena,"Shield associated with Zeus and Athena, often bearing the Gorgon's head."
Xiphos,Sword,,"Short, double-edged sword commonly used by Greek infantry."
Kopis,Sword,,"Curved, single-edged sword, often associated with heroes like Perseus."
Doru,Spear,,A type of spear commonly used by Greek hoplites.
Sarissa,Spear,,A long pike-like spear used by the Macedonian phalanx.
Hoplon,Shield,,"Iconic round shield used by Greek hoplites, often made of wood and bronze."
Bronze Cuirass,Armor,,"Chestplate made of bronze, providing protection to the torso."
Corinthian Helmet,Armor,,"Helmet with cheek guards, commonly associated with Greek warriors."
Greaves,Armor,,Shin guards made of bronze or other materials for leg protection.
Linothorax,Armor,,"Armor made from layers of linen, sometimes reinforced with leather or bronze."
Cestus,Mace,,"Battle glove with metal studs or spikes, worn by ancient Greek boxers."
The Caduceus,Staff,Hermes,"A winged staff with two serpents, associated with Hermes and heralds."
The Helm of Hades,Helmet,Hades,"Helmet that grants invisibility, worn by Hades."
Cronus' Scythe,Scythe,Cronus,"Scythe associated with the Titan Cronus, often symbolic of harvesting."
The Golden Fleece,Mythical Object,Jason,"The fleece of the golden ram, a symbol of authority and kingship."
The Girdle of Hippolyta,Mythical Object,Hippolyta,"Belt given to Heracles as part of his labors, originally owned by the Amazon queen Hippolyta."
Aphrodite's Girdle,Mythical Object,Aphrodite,"Magical girdle that enhances attractiveness, belonging to the goddess Aphrodite."
Winged Petasos,Helmet,Hermes,"Winged hat associated with Hermes, often a symbol of travel."
Talaria,Shoes,Hermes,"Winged sandals worn by Hermes, enabling swift flight."
Harpe,Sword,Persephone,Curved sword or sickle associated with the goddess Persephone.
Sword of Damocles,Sword,,A sword suspended by nothing more than a single thread above Damocles' head by Dionysus.
Sword of Peleus,Sword,Peleus,"Sword given to Peleus by the gods, used by his son, Achilles."
Thyrsus,Staff,Dionysus,"Staff tipped with a pinecone, associated with Dionysus and followers."
Circe's Staff,Staff,Circe,"Magical staff wielded by the sorceress Circe, used to turn people into animals."
Hephaestus' Labrys,Axe,Hephaestus,Double-headed axe associated with the god Hephaestus.
Apollo's Bow,Bow and Arrow,Apollo,Bow wielded by the god Apollo.
Artemis' Bow,Bow and Arrow,Artemis,"Bow used by the goddess Artemis, associated with hunting."
Eros' Bow,Bow and Arrow,Eros,"Bow of the god Eros, associated with love and desire."
Sagitta,Bow and Arrow,Heracles,"The Arrow used by Heracles to kill Aquila, the bird that ate Prometheus' liver."
Ring of Gyges,Mythical Object,Gyges,A magical ring that grants invisibility.
The Argo,Boat,Jason,The ship used by Jason and the Argonauts in their quest for the Golden Fleece.
Phaeacian Ships,Boat,,"Magical ships of the Phaeacians in Homer's ""Odyssey."""
Charon's Boat,Boat,Charon,The boat used by Charon to ferry souls across the River Styx in the Underworld.
Nemean Lion Hide,Mythical Object,Heracles,"The impenetrable hide of the Nemean Lion, one of Heracles' labors."
Icarus' Wings,Mythical Object,Icarus,"Wings made of feathers and wax, used by Icarus."
Athena's Bridle,Mythical Object,Athena,Bridle created by Athena for the winged horse Pegasus.